web-scraper-order,web-scraper-start-url,links,links-href,pages,pages-href
"1682283666-207","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","The Economic TimesAnurag Thakur calls Rahul Gandhi 'Raul Vinci' after Gandhi says 
Hindutvawadis spread hatredUnion Minister Anurag Singh Thakur on Friday slammed Congress leader Rahul 
Gandhi by calling him 'Raul Vinci'. In a tweet, Thakur wrote, ""Afsarwaadi 
Hindu,....24-Dec-2021","https://economictimes.indiatimes.com/news/politics-and-nation/anurag-thakur-calls-rahul-gandhi-raul-vinci-after-gandhi-says-hindutvawadis-spread-hatred/articleshow/88480473.cms","9","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&tbs=cdr:1,cd_min:9/7/2021,cd_max:1/30/2022&tbm=nws&sxsrf=APwXEdcrIc0IEbw1XaXM957cwpY8DG2vRQ:1682283655312&ei=h5xFZJvZEoudseMPkrKVyAw&start=80&sa=N&ved=2ahUKEwjbuL798sD-AhWLTmwGHRJZBckQ8tMDegQIBBAS"
"1682283666-208","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","Deccan HeraldRahul Gandhi joins marital rape debate, says consent needs to be 
foregrounded to ensure safety for womenTop Congress leader Rahul Gandhi on Sunday came out in support of those 
arguing for the criminalisation of marital rape, saying consent is the 
""most....16-Jan-2022","https://www.deccanherald.com/national/rahul-gandhi-joins-marital-rape-debate-says-consent-needs-to-be-foregrounded-to-ensure-safety-for-women-1071704.html","9","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&tbs=cdr:1,cd_min:9/7/2021,cd_max:1/30/2022&tbm=nws&sxsrf=APwXEdcrIc0IEbw1XaXM957cwpY8DG2vRQ:1682283655312&ei=h5xFZJvZEoudseMPkrKVyAw&start=80&sa=N&ved=2ahUKEwjbuL798sD-AhWLTmwGHRJZBckQ8tMDegQIBBAS"
"1682283666-209","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","KoimoiShah Rukh Khan’s Letter From Rahul Gandhi Read “I’ve Seen The Good Work 
You’ve Done…” Wishing A Family Reunion Amid Aryan Khan’s ArrestSenior Congress leader Rahul Gandhi came out in support of the superstar 
and expressed his concern as well. For the unversed, Aryan, Arbaaz 
Merchant, Munmun....04-Nov-2021","https://www.koimoi.com/bollywood-news/shah-rukh-khans-letter-from-rahul-gandhi-read-ive-seen-the-good-work-youve-done-wishing-a-family-reunion-amid-aryan-khans-arrest/","9","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&tbs=cdr:1,cd_min:9/7/2021,cd_max:1/30/2022&tbm=nws&sxsrf=APwXEdcrIc0IEbw1XaXM957cwpY8DG2vRQ:1682283655312&ei=h5xFZJvZEoudseMPkrKVyAw&start=80&sa=N&ved=2ahUKEwjbuL798sD-AhWLTmwGHRJZBckQ8tMDegQIBBAS"
"1682283666-210","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","The Indian ExpressModi government’s inaction against China ‘jeopardising’ close neighbours: 
Rahul GandhiCongress leader Rahul Gandhi on Friday attacked the Modi government 
alleging it first surrendered its own land to China and is now jeopardising 
country's....14-Jan-2022","https://indianexpress.com/article/india/rahul-gandhi-modi-govt-china-7723506/","9","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&tbs=cdr:1,cd_min:9/7/2021,cd_max:1/30/2022&tbm=nws&sxsrf=APwXEdcrIc0IEbw1XaXM957cwpY8DG2vRQ:1682283655312&ei=h5xFZJvZEoudseMPkrKVyAw&start=80&sa=N&ved=2ahUKEwjbuL798sD-AhWLTmwGHRJZBckQ8tMDegQIBBAS"
"1682283666-211","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","Jagran EnglishCabinet expansion in Rajasthan? Rahul Gandhi holds high-level meet with 
Ashok GehlotNew Delhi | Jagran Politics Desk: Former Congress president Rahul Gandhi on 
Saturday met Rajasthan Chief Minister Ashok Gehlot on the sidelines of 
the....17-Oct-2021","https://english.jagran.com/politics/cabinet-expansion-in-rajasthan-rahul-gandhi-holds-highlevel-meet-with-ashok-gehlot-10033706","9","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&tbs=cdr:1,cd_min:9/7/2021,cd_max:1/30/2022&tbm=nws&sxsrf=APwXEdcrIc0IEbw1XaXM957cwpY8DG2vRQ:1682283655312&ei=h5xFZJvZEoudseMPkrKVyAw&start=80&sa=N&ved=2ahUKEwjbuL798sD-AhWLTmwGHRJZBckQ8tMDegQIBBAS"
"1682283666-212","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","The QuintSachin Pilot Met Rahul Gandhi To Discuss Rajasthan Cabinet ...Former Rajasthan Deputy Chief Minister Sachin Pilot met Congress leader and 
former party chief Rahul Gandhi on Friday, 17 September, to discuss the....21-Sept-2021","https://www.thequint.com/news/india/sachin-pilot-rahul-gandhi-congress-rajasthan-cabinet-reshuffle","9","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&tbs=cdr:1,cd_min:9/7/2021,cd_max:1/30/2022&tbm=nws&sxsrf=APwXEdcrIc0IEbw1XaXM957cwpY8DG2vRQ:1682283655312&ei=h5xFZJvZEoudseMPkrKVyAw&start=80&sa=N&ved=2ahUKEwjbuL798sD-AhWLTmwGHRJZBckQ8tMDegQIBBAS"
"1682283666-213","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","Mid-DayMagistrate summoned Rahul Gandhi as evidence prima facie points to offence, 
complainant tells Bombay HCThe Bombay High Court posted Gandhi's petition challenging the summons for 
... A BJP worker, who had filed a defamation complaint against Rahul Gandhi 
over....16-Dec-2021","https://www.mid-day.com/mumbai/mumbai-news/article/magistrate-summoned-rahul-gandhi-as-evidence-prima-facie-points-to-offence-complainant-tells-bombay-hc-23205354","9","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&tbs=cdr:1,cd_min:9/7/2021,cd_max:1/30/2022&tbm=nws&sxsrf=APwXEdcrIc0IEbw1XaXM957cwpY8DG2vRQ:1682283655312&ei=h5xFZJvZEoudseMPkrKVyAw&start=80&sa=N&ved=2ahUKEwjbuL798sD-AhWLTmwGHRJZBckQ8tMDegQIBBAS"
"1682283666-214","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","Jansattaराहुल गांधी को खुद नहीं पता वो हिंदू हैं, मुस्लिम या क्रिश्‍चयन? हरियाणा के 
बीजेपी विधायक ने साधा निशानाrahul gandhi hindu muslim or Christian. बीजेपी विधायक असीम गोयल। Photo 
Credit: Ani. कांग्रेस के वरिष्‍ठ नेता....26-Dec-2021","https://www.jansatta.com/politics/rahul-gandhi-himself-doesnt-know-if-he-is-hindu-muslim-or-christian-haryana-bjp-mla/1974538/","9","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&tbs=cdr:1,cd_min:9/7/2021,cd_max:1/30/2022&tbm=nws&sxsrf=APwXEdcrIc0IEbw1XaXM957cwpY8DG2vRQ:1682283655312&ei=h5xFZJvZEoudseMPkrKVyAw&start=80&sa=N&ved=2ahUKEwjbuL798sD-AhWLTmwGHRJZBckQ8tMDegQIBBAS"
"1682283666-215","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","Hindustan TimesGoa assembly polls: Rahul Gandhi to hold virtual rally in CM Sawant’s 
Sanquelim constituency on Feb 2The visit will be Rahul Gandhi's first since the Election Commission of 
India announced the schedule for the assembly polls in Goa..29-Jan-2022","https://www.hindustantimes.com/elections/goa-assembly-election/goa-assembly-polls-rahul-gandhi-to-hold-virtual-rally-in-cm-sawant-s-sanquelim-constituency-on-feb-2-101643462752820.html","9","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&tbs=cdr:1,cd_min:9/7/2021,cd_max:1/30/2022&tbm=nws&sxsrf=APwXEdcrIc0IEbw1XaXM957cwpY8DG2vRQ:1682283655312&ei=h5xFZJvZEoudseMPkrKVyAw&start=80&sa=N&ved=2ahUKEwjbuL798sD-AhWLTmwGHRJZBckQ8tMDegQIBBAS"
"1682283669-216","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","Tribune IndiaRahul Gandhi 'pickpocketed' during Amritsar visit?SAD leader Harsimrat Kaur Badal has created a political furore in the 
politically charged atmosphere by tweeting, “Who picked Congress leader 
Rahul Gandhi's....30-Jan-2022","https://www.tribuneindia.com/news/punjab/rahul-gandhi-pickpocketed-during-amritsar-visit-365379","8","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&tbs=cdr:1,cd_min:9/7/2021,cd_max:1/30/2022&tbm=nws&sxsrf=APwXEdcrIc0IEbw1XaXM957cwpY8DG2vRQ:1682283655312&ei=h5xFZJvZEoudseMPkrKVyAw&start=70&sa=N&ved=2ahUKEwjbuL798sD-AhWLTmwGHRJZBckQ8tMDegQIBBAQ"
